from_shape,to_shape,count,p_to_given_from,p_to_background,lift,book,level,shape_field,transition_accent_mode
P<=4_A3_C0,P10-12_A8+_C3,8,0.02739726,0.01437962,1.90528376,numbers,major,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A4_C0,8,0.0372093,0.04396056,0.84642469,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P5-6_A6-7_C1,8,0.03418803,0.03738702,0.91443599,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P5-6_A4_C1,8,0.02739726,0.02259655,1.2124533,numbers,major,transition_bucket_shape,accent_words
P<=4_A2_C0,P7-9_A6-7_C1,8,0.0372093,0.09613804,0.38704035,numbers,major,transition_bucket_shape,accent_words
P<=4_A4_C0,P5-6_A5_C0,8,0.07476636,0.04724733,1.58244616,numbers,major,transition_bucket_shape,accent_words
P5-6_A4_C0,P7-9_A6-7_C1,8,0.05925926,0.09613804,0.61639759,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C2,P<=4_A3_C0,8,0.13114754,0.11996713,1.0931956,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P7-9_A8+_C2,8,0.03418803,0.03286771,1.04017094,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C0,P7-9_A6-7_C1,8,0.06956522,0.09613804,0.72359718,numbers,major,transition_bucket_shape,accent_words
P5-6_A6-7_C1,P7-9_A6-7_C1,8,0.08791209,0.09613804,0.91443599,numbers,major,transition_bucket_shape,accent_words
P10-12_A8+_C2,P5-6_A6-7_C1,8,0.06896552,0.03738702,1.84463812,numbers,major,transition_bucket_shape,accent_words
P10-12_A8+_C1,P<=4_A4_C0,8,0.08333333,0.04396056,1.89563863,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C1,P5-6_A5_C0,8,0.04188482,0.04724733,0.88650125,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P7-9_A8+_C2,8,0.02739726,0.03286771,0.83356164,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C0,P5-6_A5_C1,7,0.06086957,0.0788825,0.77164855,numbers,major,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A3_C0,7,0.06542056,0.11996713,0.5453207,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C0,P5-6_A6-7_C1,7,0.06086957,0.03738702,1.62809365,numbers,major,transition_bucket_shape,accent_words
P<=4_A4_C0,P5-6_A6-7_C1,7,0.06542056,0.03738702,1.74982027,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P7-9_A6-7_C0,7,0.0239726,0.02629417,0.91170805,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C0,P<=4_A4_C0,7,0.06086957,0.04396056,1.38464039,numbers,major,transition_bucket_shape,accent_words
P<=4_A4_C0,P5-6_A5_C1,7,0.06542056,0.0788825,0.8293419,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C0,P10-12_A8+_C2,7,0.06086957,0.04765818,1.27721139,numbers,major,transition_bucket_shape,accent_words
P7-9_A5_C1,P<=4_A3_C0,7,0.21875,0.11996713,1.8234161,numbers,major,transition_bucket_shape,accent_words
P13-15_A8+_C2,P<=4_A3_C0,7,0.12962963,0.11996713,1.08054287,numbers,major,transition_bucket_shape,accent_words
P10-12_A8+_C2,P<=4_A2_C0,7,0.06034483,0.08833196,0.68315958,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P10-12_A8+_C1,7,0.02991453,0.03944125,0.75845798,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C2,P5-6_A4_C0,7,0.1147541,0.05546426,2.06897389,numbers,major,transition_bucket_shape,accent_words
P7-9_A8+_C1,P7-9_A6-7_C1,7,0.12962963,0.09613804,1.34836974,numbers,major,transition_bucket_shape,accent_words
P<=4_A4_C0,P10-12_A8+_C2,7,0.06542056,0.04765818,1.37270383,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P<=4_A4_C0,7,0.02991453,0.04396056,0.68048566,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C0,P7-9_A6-7_C0,7,0.06086957,0.02629417,2.31494565,numbers,major,transition_bucket_shape,accent_words
P5-6_A4_C1,P5-6_A4_C1,7,0.12727273,0.02259655,5.63239669,numbers,major,transition_bucket_shape,accent_words
P7-9_A8+_C1,P10-12_A8+_C2,6,0.11111111,0.04765818,2.33141762,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P7-9_A8+_C1,6,0.02564103,0.0221857,1.15574549,numbers,major,transition_bucket_shape,accent_words
P<=4_A2_C0,P5-6_A6-7_C1,6,0.02790698,0.03738702,0.74643496,numbers,major,transition_bucket_shape,accent_words
P<=4_A2_C0,P7-9_A6-7_C0,6,0.02790698,0.02629417,1.06133721,numbers,major,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A4_C0,6,0.05607477,0.04396056,1.27556992,numbers,major,transition_bucket_shape,accent_words
