from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P<=4_A4_C0,P<=4_A4_C0,224,0.18360656,0.21249565,0.86404855,258.834,12.3913492,-2.811155,0.99800399,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A0-1_C0,40,0.04201681,0.0673512,0.62384644,64.156,6.71996875,-3.59466,1.0,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P3_A4_C0,P2_A2_C0,93,0.16089965,0.11973547,1.34379275,69.72,7.19535588,3.23542,0.00399202,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P2_A2_C0,P3_A4_C0,93,0.13517442,0.10076575,1.34147186,69.616,7.52421235,3.107834,0.00199601,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P3_A4_C0,P4_A3_C0,57,0.09861592,0.0673512,1.46420429,38.982,6.0497003,2.978329,0.00798403,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P1_A1_C0,P3_A3_C0,74,0.20903955,0.15280195,1.36804242,54.462,6.65500821,2.935834,0.00598802,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P3_A3_C0,P3_A4_C0,110,0.12514221,0.10076575,1.24191213,88.35,8.43360845,2.56711,0.00598802,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P4_A5_C0,P3_A3_C0,55,0.21072797,0.15280195,1.37909215,40.112,6.01729771,2.4742,0.00798403,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P4_A3_C0,P3_A4_C0,54,0.13953488,0.10076575,1.38474515,39.716,5.87062795,2.43313,0.00998004,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P3_A3_C0,P3_A3_C0,157,0.17861206,0.15280195,1.16891218,134.432,9.91615026,2.275883,0.01796407,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P2_A3_C0,P4_A4_C0,38,0.14785992,0.10529064,1.40430267,27.27,4.90440684,2.187828,0.01397206,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P4_A3_C0,P2_A2_C0,60,0.15503876,0.11973547,1.29484406,46.514,6.23727595,2.162162,0.03193613,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P2_A2_C0,P3_A2_C0,28,0.04069767,0.02975983,1.36753706,20.368,4.01457465,1.901073,0.04391218,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P4_A4_C0,P4_A4_C0,75,0.12396694,0.10529064,1.17737859,62.954,6.58411613,1.829555,0.03992016,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P3_A3_C0,P2_A3_C0,49,0.05574516,0.04472677,1.2463491,39.048,5.90282837,1.685971,0.05988024,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P4_A4_C0,P4_A5_C0,35,0.05785124,0.0454229,1.27361388,27.502,4.98072397,1.505404,0.08383234,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P1_A1_C0,P4_A4_C0,45,0.12711864,0.10529064,1.20731195,36.666,5.72748218,1.45509,0.08582834,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P2_A2_C0,P2_A3_C0,37,0.05377907,0.04472677,1.20239119,30.63,5.24520012,1.214444,0.14570858,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P3_A4_C0,P1_A1_C0,42,0.07266436,0.06160808,1.17946162,35.848,5.47328143,1.124006,0.14371257,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P3_A3_C0,P5_A4_C0,39,0.0443686,0.04020188,1.10364493,35.13,5.48208048,0.705936,0.25748503,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P2_A2_C0,P5_A5_C0,35,0.05087209,0.04611904,1.10306055,31.946,5.20049751,0.587252,0.32335329,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P4_A4_C0,P2_A3_C0,30,0.04958678,0.04472677,1.10866,27.26,4.69259426,0.583899,0.29540918,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P4_A4_C0,P2_A2_C0,77,0.12727273,0.11973547,1.06294926,72.684,7.54625974,0.571939,0.28742515,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P5_A5_C0,P2_A2_C0,34,0.12830189,0.11973547,1.07154454,31.836,4.94104562,0.437964,0.36327345,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P2_A2_C0,P3_A3_C0,108,0.15697674,0.15280195,1.02732161,104.952,8.89358689,0.342719,0.39520958,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P4_A5_C0,P2_A2_C0,33,0.12643678,0.11973547,1.05596766,31.41,5.27954991,0.301162,0.42914172,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P5_A5_C0,P3_A4_C0,28,0.10566038,0.10076575,1.04857431,26.584,5.09773654,0.27777,0.40718563,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P2_A2_C0,P4_A3_C0,48,0.06976744,0.0673512,1.03587525,46.776,6.19148552,0.197691,0.43712575,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P5_A5_C0,P4_A4_C0,28,0.10566038,0.10529064,1.00351162,27.806,4.87728817,0.039776,0.51497006,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P4_A4_C0,P1_A1_C0,37,0.06115702,0.06160808,0.99267871,37.024,5.93108587,-0.004046,0.54291417,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P2_A2_C0,P4_A5_C0,31,0.04505814,0.0454229,0.99196962,31.272,5.20193582,-0.052288,0.57285429,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P1_A1_C0,P3_A4_C0,35,0.09887006,0.10076575,0.98118712,35.448,5.69105194,-0.07872,0.56287425,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P4_A4_C0,P3_A3_C0,92,0.15206612,0.15280195,0.9951844,93.284,8.14961204,-0.157554,0.60878244,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P2_A2_C0,P4_A4_C0,71,0.10319767,0.10529064,0.98012204,72.282,7.8043765,-0.164267,0.5988024,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P3_A3_C0,P1_A1_C0,53,0.06029579,0.06160808,0.97869947,54.094,6.59485772,-0.165887,0.59481038,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P3_A3_C0,P4_A5_C0,39,0.0443686,0.0454229,0.97678919,40.042,5.53837369,-0.188142,0.5988024,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P4_A3_C0,P3_A3_C0,57,0.14728682,0.15280195,0.96390669,58.928,6.60318257,-0.29198,0.63273453,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P2_A3_C0,P2_A2_C0,29,0.11284047,0.11973547,0.94241471,30.52,5.11604807,-0.297104,0.6506986,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P3_A3_C0,P2_A2_C0,100,0.11376564,0.11973547,0.95014155,104.844,8.69061088,-0.557383,0.71856287,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P3_A3_C0,P4_A4_C0,88,0.10011377,0.10529064,0.95083256,92.98,8.6123135,-0.578242,0.72654691,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P4_A4_C0,P4_A3_C0,37,0.06115702,0.0673512,0.90803169,40.634,5.93316517,-0.612489,0.75648703,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P3_A3_C0,P5_A5_C0,37,0.04209329,0.04611904,0.91270955,40.528,5.51888868,-0.639259,0.75249501,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P4_A3_C0,P4_A4_C0,36,0.09302326,0.10529064,0.88349029,40.774,5.79949932,-0.823175,0.80439122,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P3_A4_C0,P3_A3_C0,81,0.14013841,0.15280195,0.91712448,88.268,7.92172225,-0.917477,0.83433134,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P3_A4_C0,P4_A4_C0,53,0.0916955,0.10529064,0.87087992,61.042,7.07561762,-1.136579,0.89421158,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P2_A3_C0,P3_A3_C0,31,0.12062257,0.15280195,0.78940464,39.268,5.65722409,-1.461494,0.93812375,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P3_A3_C0,P4_A3_C0,48,0.05460751,0.0673512,0.81078745,58.98,7.22634348,-1.519441,0.94411178,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P1_A1_C0,P2_A2_C0,32,0.09039548,0.11973547,0.75495993,42.266,5.94861463,-1.72578,0.96606786,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P5_A5_C0,P3_A3_C0,28,0.10566038,0.15280195,0.6914858,40.356,5.60250302,-2.205443,0.99800399,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P4_A4_C0,P3_A4_C0,43,0.07107438,0.10076575,0.70534264,60.876,6.91406049,-2.585456,0.99800399,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P3_A4_C0,P3_A4_C0,40,0.06920415,0.10076575,0.68678249,58.61,6.90719325,-2.694293,0.99800399,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
