k,pattern,observed_count,observed_share,enrichment_ratio,total_ngrams,null_mean,null_sd,null_unique_values,z,z_reliable,empirical_p,null_exceedances,permutations,rank,book,run_label,stream_type
4,munah zaqef_qatan tipeha munah,82,0.00562723,32.8,14572,2.5,1.46996735,8,54.082834,True,0.00497512,0,200,45,deuteronomy,main,full
4,meteg sof_pasuq munah zaqef_qatan,63,0.00432336,47.368421,14572,1.33,1.15227544,5,53.52019,True,0.00497512,0,200,46,deuteronomy,main,full
4,tevir merkha tipeha munah,51,0.00349986,56.043956,14572,0.91,0.95206731,6,52.611826,True,0.00497512,0,200,47,deuteronomy,main,full
4,merkha meteg sof_pasuq qadma,38,0.00260774,82.608696,14572,0.46,0.72180678,5,52.008378,True,0.00497512,0,200,48,deuteronomy,main,full
4,atnah mahapakh pashta munah,29,0.00199012,107.407407,14572,0.27,0.55555667,4,51.713896,True,0.00497512,0,200,49,deuteronomy,main,full
4,mahapakh meteg pashta zaqef_qatan,35,0.00240187,67.307692,14572,0.52,0.67963928,3,50.732795,True,0.00497512,0,200,50,deuteronomy,main,full
5,pashta munah zaqef_qatan merkha tipeha,147,0.01008853,668.181818,14571,0.22,0.50285616,4,291.892614,True,0.00497512,0,200,1,deuteronomy,main,full
5,munah zaqef_qatan tipeha merkha meteg,87,0.00597076,370.212766,14571,0.235,0.50102909,3,173.173577,True,0.00497512,0,200,2,deuteronomy,main,full
5,munah zaqef_qatan merkha tipeha meteg,86,0.00590213,260.606061,14571,0.33,0.57685684,4,148.511716,True,0.00497512,0,200,3,deuteronomy,main,full
5,pashta munah zaqef_qatan tipeha munah,54,0.00370599,211.764706,14571,0.255,0.53984457,4,99.556433,True,0.00497512,0,200,4,deuteronomy,main,full
5,zaqef_qatan merkha tipeha merkha meteg,43,0.00295107,165.384615,14571,0.26,0.53274675,4,80.225736,True,0.00497512,0,200,5,deuteronomy,main,full
5,munah zaqef_qatan merkha tipeha munah,34,0.0023334,113.333333,14571,0.3,0.55817362,3,60.37548,True,0.00497512,0,200,6,deuteronomy,main,full
5,munah zaqef_qatan merkha tipeha merkha,28,0.00192163,105.660377,14571,0.265,0.51585417,4,53.765195,True,0.00497512,0,200,7,deuteronomy,main,full
5,merkha tipeha merkha meteg sof_pasuq,144,0.00988264,738.461538,14571,0.195,0.49821289,4,,False,0.00497512,0,200,8,deuteronomy,main,full
5,zaqef_qatan merkha tipeha meteg sof_pasuq,132,0.00905909,694.736842,14571,0.19,0.41805965,3,,False,0.00497512,0,200,9,deuteronomy,main,full
5,zaqef_qatan tipeha merkha meteg sof_pasuq,128,0.00878457,800.0,14571,0.16,0.44201457,3,,False,0.00497512,0,200,10,deuteronomy,main,full
5,tevir merkha tipeha meteg sof_pasuq,91,0.00624528,1654.545455,14571,0.055,0.22855236,2,,False,0.00497512,0,200,11,deuteronomy,main,full
5,munah zaqef_qatan merkha tipeha atnah,82,0.00562762,585.714286,14571,0.14,0.36201557,3,,False,0.00497512,0,200,12,deuteronomy,main,full
5,merkha tipeha meteg sof_pasuq munah,81,0.00555899,426.315789,14571,0.19,0.42991176,3,,False,0.00497512,0,200,13,deuteronomy,main,full
5,munah zaqef_qatan tipeha munah atnah,81,0.00555899,437.837838,14571,0.185,0.40197377,3,,False,0.00497512,0,200,14,deuteronomy,main,full
