taam,rank,successor,count,prob,book,run_label,stream_type
meteg,6,mahapakh,124,0.06915784,deuteronomy,control_exclude_external,full
meteg,7,zaqef_qatan,111,0.06190742,deuteronomy,control_exclude_external,full
meteg,8,qadma,109,0.06079197,deuteronomy,control_exclude_external,full
meteg,9,revia,105,0.05856107,deuteronomy,control_exclude_external,full
meteg,10,tevir,64,0.03569437,deuteronomy,control_exclude_external,full
munah,1,zaqef_qatan,790,0.43598234,deuteronomy,control_exclude_external,full
munah,2,atnah,360,0.1986755,deuteronomy,control_exclude_external,full
munah,3,revia,273,0.15066225,deuteronomy,control_exclude_external,full
munah,4,meteg,108,0.05960265,deuteronomy,control_exclude_external,full
munah,5,munah,92,0.05077263,deuteronomy,control_exclude_external,full
munah,6,mahapakh,35,0.01931567,deuteronomy,control_exclude_external,full
munah,7,segol,32,0.01766004,deuteronomy,control_exclude_external,full
munah,8,zinor,31,0.01710817,deuteronomy,control_exclude_external,full
munah,9,telisha_gedola,20,0.01103753,deuteronomy,control_exclude_external,full
munah,10,telisha_qetana,19,0.01048565,deuteronomy,control_exclude_external,full
pashta,1,munah,567,0.46551724,deuteronomy,control_exclude_external,full
pashta,2,zaqef_qatan,366,0.30049261,deuteronomy,control_exclude_external,full
pashta,3,pashta,194,0.1592775,deuteronomy,control_exclude_external,full
pashta,4,meteg,63,0.05172414,deuteronomy,control_exclude_external,full
pashta,5,mahapakh,15,0.01231527,deuteronomy,control_exclude_external,full
pashta,6,qadma,5,0.00410509,deuteronomy,control_exclude_external,full
pashta,7,telisha_qetana,2,0.00164204,deuteronomy,control_exclude_external,full
pashta,8,yetiv,2,0.00164204,deuteronomy,control_exclude_external,full
pashta,9,geresh,1,0.00082102,deuteronomy,control_exclude_external,full
pashta,10,gershayim,1,0.00082102,deuteronomy,control_exclude_external,full
pazer,1,telisha_qetana,16,0.45714286,deuteronomy,control_exclude_external,full
pazer,2,munah,13,0.37142857,deuteronomy,control_exclude_external,full
pazer,3,meteg,2,0.05714286,deuteronomy,control_exclude_external,full
pazer,4,mahapakh,1,0.02857143,deuteronomy,control_exclude_external,full
pazer,5,merkha,1,0.02857143,deuteronomy,control_exclude_external,full
pazer,6,qadma,1,0.02857143,deuteronomy,control_exclude_external,full
pazer,7,geresh,1,0.02857143,deuteronomy,control_exclude_external,full
qadma,1,geresh,204,0.46363636,deuteronomy,control_exclude_external,full
qadma,2,mahapakh,101,0.22954545,deuteronomy,control_exclude_external,full
qadma,3,darga,50,0.11363636,deuteronomy,control_exclude_external,full
qadma,4,merkha,44,0.1,deuteronomy,control_exclude_external,full
qadma,5,meteg,19,0.04318182,deuteronomy,control_exclude_external,full
qadma,6,zaqef_qatan,11,0.025,deuteronomy,control_exclude_external,full
qadma,7,munah,8,0.01818182,deuteronomy,control_exclude_external,full
qadma,8,atnah,2,0.00454545,deuteronomy,control_exclude_external,full
qadma,9,tipeha,1,0.00227273,deuteronomy,control_exclude_external,full
revia,1,pashta,126,0.24609375,deuteronomy,control_exclude_external,full
revia,2,mahapakh,95,0.18554688,deuteronomy,control_exclude_external,full
revia,3,qadma,64,0.125,deuteronomy,control_exclude_external,full
revia,4,meteg,59,0.11523438,deuteronomy,control_exclude_external,full
revia,5,tevir,46,0.08984375,deuteronomy,control_exclude_external,full
revia,6,munah,29,0.05664062,deuteronomy,control_exclude_external,full
revia,7,yetiv,23,0.04492188,deuteronomy,control_exclude_external,full
revia,8,merkha,18,0.03515625,deuteronomy,control_exclude_external,full
revia,9,darga,12,0.0234375,deuteronomy,control_exclude_external,full
revia,10,zinor,12,0.0234375,deuteronomy,control_exclude_external,full
segol,1,munah,18,0.26470588,deuteronomy,control_exclude_external,full
segol,2,mahapakh,10,0.14705882,deuteronomy,control_exclude_external,full
segol,3,pashta,9,0.13235294,deuteronomy,control_exclude_external,full
segol,4,qadma,8,0.11764706,deuteronomy,control_exclude_external,full
segol,5,meteg,7,0.10294118,deuteronomy,control_exclude_external,full
segol,6,revia,4,0.05882353,deuteronomy,control_exclude_external,full
segol,7,zaqef_gadol,3,0.04411765,deuteronomy,control_exclude_external,full
segol,8,gershayim,3,0.04411765,deuteronomy,control_exclude_external,full
segol,9,merkha,1,0.01470588,deuteronomy,control_exclude_external,full
segol,10,darga,1,0.01470588,deuteronomy,control_exclude_external,full
telisha_gedola,1,qadma,42,0.62686567,deuteronomy,control_exclude_external,full
telisha_gedola,2,meteg,12,0.17910448,deuteronomy,control_exclude_external,full
telisha_gedola,3,munah,5,0.07462687,deuteronomy,control_exclude_external,full
telisha_gedola,4,mahapakh,4,0.05970149,deuteronomy,control_exclude_external,full
telisha_gedola,5,gershayim,3,0.04477612,deuteronomy,control_exclude_external,full
telisha_gedola,6,darga,1,0.01492537,deuteronomy,control_exclude_external,full
telisha_qetana,1,qadma,109,0.92372881,deuteronomy,control_exclude_external,full
telisha_qetana,2,meteg,4,0.03389831,deuteronomy,control_exclude_external,full
telisha_qetana,3,tipeha,2,0.01694915,deuteronomy,control_exclude_external,full
telisha_qetana,4,merkha,1,0.00847458,deuteronomy,control_exclude_external,full
telisha_qetana,5,mahapakh,1,0.00847458,deuteronomy,control_exclude_external,full
telisha_qetana,6,telisha_qetana,1,0.00847458,deuteronomy,control_exclude_external,full
tevir,1,merkha,318,0.66666667,deuteronomy,control_exclude_external,full
tevir,2,tipeha,139,0.29140461,deuteronomy,control_exclude_external,full
tevir,3,meteg,13,0.02725367,deuteronomy,control_exclude_external,full
tevir,4,tevir,3,0.00628931,deuteronomy,control_exclude_external,full
