source,target,count,prob_given_source,target_predecessor_share,reverse_count,asymmetry_count,asymmetry_ratio,expected_independent,lift,book,run_label,stream_type
zaqef_qatan,meteg,135,0.07305195,0.05065666,126,9,1.07142857,267.804241,0.5041,genesis,control_exclude_external,core_adjacent
meteg,zaqef_qatan,126,0.0493537,0.06737968,135,-9,0.93333333,259.603589,0.485355,genesis,control_exclude_external,core_adjacent
atnah,mahapakh,124,0.08775655,0.16756757,0,124,inf,56.858075,2.180869,genesis,control_exclude_external,core_adjacent
qadma,mahapakh,121,0.26477024,0.16351351,0,121,inf,18.389342,6.579898,genesis,control_exclude_external,core_adjacent
atnah,pashta,121,0.0856334,0.07142857,0,121,inf,130.158891,0.929633,genesis,control_exclude_external,core_adjacent
meteg,revia,119,0.04661183,0.20101351,65,54,1.83076923,82.184666,1.447959,genesis,control_exclude_external,core_adjacent
munah,meteg,116,0.05047868,0.0435272,377,-261,0.30769231,333.016313,0.348331,genesis,control_exclude_external,core_adjacent
zaqef_qatan,munah,112,0.06060606,0.05024675,1159,-1047,0.09663503,223.990865,0.50002,genesis,control_exclude_external,core_adjacent
telisha_qetana,qadma,92,0.98924731,0.22168675,0,92,inf,2.098695,43.836766,genesis,control_exclude_external,core_adjacent
zaqef_gadol,merkha,87,0.5,0.03618968,0,87,inf,22.74584,3.824875,genesis,control_exclude_external,core_adjacent
geresh,revia,83,0.34297521,0.1402027,1,82,83.0,7.790321,10.654247,genesis,control_exclude_external,core_adjacent
geresh,munah,61,0.25206612,0.02736653,1,60,61.0,29.332137,2.07963,genesis,control_exclude_external,core_adjacent
zaqef_gadol,tipeha,48,0.27586207,0.01617251,0,48,inf,28.082219,1.709267,genesis,control_exclude_external,core_adjacent
geresh,mahapakh,43,0.17768595,0.05810811,0,43,inf,9.737901,4.415736,genesis,control_exclude_external,core_adjacent
