taam,rank,predecessor,count,prob,book,run_label,stream_type
yetiv,6,zaqef_gadol,2,0.02222222,exodus,main,full
yetiv,7,segol,1,0.01111111,exodus,main,full
zaqef_gadol,1,zaqef_qatan,39,0.39393939,exodus,main,full
zaqef_gadol,2,atnah,37,0.37373737,exodus,main,full
zaqef_gadol,3,sof_pasuq,18,0.18181818,exodus,main,full
zaqef_gadol,4,meteg,4,0.04040404,exodus,main,full
zaqef_gadol,5,zaqef_gadol,1,0.01010101,exodus,main,full
zaqef_qatan,1,munah,852,0.57645467,exodus,main,full
zaqef_qatan,2,pashta,447,0.30243572,exodus,main,full
zaqef_qatan,3,meteg,132,0.08930988,exodus,main,full
zaqef_qatan,4,qadma,22,0.01488498,exodus,main,full
zaqef_qatan,5,yetiv,9,0.00608931,exodus,main,full
zaqef_qatan,6,atnah,5,0.00338295,exodus,main,full
zaqef_qatan,7,zaqef_qatan,4,0.00270636,exodus,main,full
zaqef_qatan,8,pazer,2,0.00135318,exodus,main,full
zaqef_qatan,9,mahapakh,2,0.00135318,exodus,main,full
zaqef_qatan,10,paseq,1,0.00067659,exodus,main,full
zarqa,1,meteg,2,0.66666667,exodus,main,full
zarqa,2,revia,1,0.33333333,exodus,main,full
zinor,1,munah,52,0.65822785,exodus,main,full
zinor,2,meteg,12,0.15189873,exodus,main,full
zinor,3,sof_pasuq,7,0.08860759,exodus,main,full
zinor,4,revia,5,0.06329114,exodus,main,full
zinor,5,tipeha,1,0.01265823,exodus,main,full
zinor,6,zaqef_qatan,1,0.01265823,exodus,main,full
zinor,7,paseq,1,0.01265823,exodus,main,full
