source,target,count,prob_given_source,target_predecessor_share,reverse_count,asymmetry_count,asymmetry_ratio,expected_independent,lift,book,run_label,stream_type
telisha_gedola,munah,6,0.08955224,0.00331309,23,-17,0.26086957,9.494288,0.631959,deuteronomy,control_exclude_meteg,full
merkha,paseq,6,0.00375235,0.07317073,2,4,3.0,10.259624,0.584817,deuteronomy,control_exclude_meteg,full
revia,geresh,6,0.01171875,0.0244898,75,-69,0.08,9.815336,0.611288,deuteronomy,control_exclude_meteg,full
gershayim,merkha,6,0.05504587,0.00375235,1,5,6.0,13.637793,0.439954,deuteronomy,control_exclude_meteg,full
merkha,zinor,5,0.00312695,0.07575758,0,5,inf,8.257746,0.605492,deuteronomy,control_exclude_meteg,full
segol,revia,5,0.07352941,0.00976562,0,5,inf,2.724257,1.835363,deuteronomy,control_exclude_meteg,full
telisha_gedola,mahapakh,5,0.07462687,0.008726,0,5,inf,3.003991,1.664453,deuteronomy,control_exclude_meteg,full
atnah,geresh,5,0.00548246,0.02040816,0,5,inf,17.483568,0.285983,deuteronomy,control_exclude_meteg,full
pashta,qadma,5,0.00410509,0.01136364,0,5,inf,41.934272,0.119234,deuteronomy,control_exclude_meteg,full
atnah,zaqef_qatan,5,0.00548246,0.00386698,0,5,inf,92.270423,0.054189,deuteronomy,control_exclude_meteg,full
atnah,sof_pasuq,5,0.00548246,0.00524109,1,4,5.0,68.078873,0.073444,deuteronomy,control_exclude_meteg,full
munah,pashta,5,0.00275938,0.00410509,581,-576,0.00860585,172.692958,0.028953,deuteronomy,control_exclude_meteg,full
revia,gershayim,5,0.00976562,0.04587156,2,3,2.5,4.366823,1.144997,deuteronomy,control_exclude_meteg,full
atnah,pazer,4,0.00438596,0.11428571,0,4,inf,2.497653,1.601504,deuteronomy,control_exclude_meteg,full
paseq,revia,4,0.04878049,0.0078125,0,4,inf,3.285133,1.217607,deuteronomy,control_exclude_meteg,full
paseq,zinor,4,0.04878049,0.06060606,0,4,inf,0.423474,9.445676,deuteronomy,control_exclude_meteg,full
merkha,atnah,4,0.00250156,0.00438596,171,-167,0.02339181,114.107042,0.035055,deuteronomy,control_exclude_meteg,full
merkha,merkha,4,0.00250156,0.00250156,4,0,1.0,200.062676,0.019994,deuteronomy,control_exclude_meteg,full
zaqef_gadol,pashta,4,0.05714286,0.00328407,0,4,inf,6.671362,0.599578,deuteronomy,control_exclude_meteg,full
segol,gershayim,4,0.05882353,0.03669725,0,4,inf,0.579969,6.896924,deuteronomy,control_exclude_meteg,full
zaqef_gadol,tevir,3,0.04285714,0.00628931,0,3,inf,2.612676,1.148248,deuteronomy,control_exclude_meteg,full
segol,zaqef_gadol,3,0.04411765,0.04285714,0,3,inf,0.372457,8.054622,deuteronomy,control_exclude_meteg,full
zaqef_gadol,qadma,3,0.04285714,0.00681818,0,3,inf,2.410016,1.244805,deuteronomy,control_exclude_meteg,full
mahapakh,paseq,3,0.0052356,0.03658537,0,3,inf,3.676526,0.815988,deuteronomy,control_exclude_meteg,full
paseq,pashta,3,0.03658537,0.00246305,3,0,1.0,7.815023,0.383876,deuteronomy,control_exclude_meteg,full
pashta,paseq,3,0.00246305,0.03658537,3,0,1.0,7.815023,0.383876,deuteronomy,control_exclude_meteg,full
mahapakh,munah,3,0.0052356,0.00165654,37,-34,0.08108108,81.197418,0.036947,deuteronomy,control_exclude_meteg,full
tipeha,qadma,3,0.00161725,0.00681818,1,2,3.0,63.865415,0.046974,deuteronomy,control_exclude_meteg,full
mahapakh,merkha,3,0.0052356,0.00187617,0,3,inf,71.692254,0.041846,deuteronomy,control_exclude_meteg,full
munah,geresh,3,0.00165563,0.0122449,75,-72,0.04,34.737089,0.086363,deuteronomy,control_exclude_meteg,full
tevir,tevir,3,0.00628931,0.00628931,3,0,1.0,17.803521,0.168506,deuteronomy,control_exclude_meteg,full
paseq,pazer,3,0.03658537,0.08571429,0,3,inf,0.22457,13.358885,deuteronomy,control_exclude_meteg,full
paseq,telisha_gedola,3,0.03658537,0.04477612,0,3,inf,0.42989,6.978522,deuteronomy,control_exclude_meteg,full
revia,pazer,2,0.00390625,0.05714286,0,2,inf,1.402191,1.426339,deuteronomy,control_exclude_meteg,full
