from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P3_A3_C0,P2_A2_C0,193,0.20041537,0.17457853,1.14799553,168.078,9.95037365,2.50463,0.00998004,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P6_A5_C0,P4_A4_C0,21,0.16666667,0.10603372,1.57182706,13.428,3.39645223,2.229385,0.0259481,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P1_A1_C0,P4_A4_C0,41,0.14137931,0.10603372,1.33334295,30.768,4.82667272,2.119887,0.03193613,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P2_A2_C0,P2_A2_C0,159,0.20203304,0.17457853,1.15726166,137.272,10.2854069,2.112508,0.01996008,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P5_A4_C0,P5_A4_C0,31,0.09872611,0.06965395,1.41738002,21.82,4.51934164,2.031269,0.03592814,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P5_A4_C0,P4_A3_C0,41,0.13057325,0.09893523,1.31978521,31.21,4.83576978,2.024497,0.03592814,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P4_A4_C0,P5_A5_C0,29,0.06066946,0.04392192,1.38130257,20.846,4.13333436,1.972741,0.03193613,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P4_A3_C0,P4_A3_C0,56,0.12556054,0.09893523,1.26911862,44.104,6.21211435,1.914968,0.03592814,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P3_A2_C0,P3_A2_C0,23,0.08550186,0.05967169,1.4328713,16.114,3.81288344,1.805982,0.05588822,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P3_A3_C0,P1_A1_C0,74,0.0768432,0.06410825,1.19864754,61.918,6.72202702,1.797375,0.03592814,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P3_A2_C0,P1_A1_C0,24,0.08921933,0.06410825,1.39169807,17.49,3.9488082,1.648599,0.06786427,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P2_A2_C0,P3_A2_C0,56,0.07115629,0.05967169,1.19246303,46.55,6.23194788,1.51638,0.07185629,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P4_A4_C0,P1_A1_C0,38,0.07949791,0.06410825,1.24005733,30.55,5.01175972,1.486504,0.08782435,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P4_A4_C0,P4_A4_C0,58,0.12133891,0.10603372,1.14434271,50.25,6.10294945,1.269878,0.11177645,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P4_A3_C0,P3_A2_C0,32,0.07174888,0.05967169,1.20239385,26.666,4.75264339,1.122323,0.15768463,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P4_A3_C0,P1_A1_C0,34,0.07623318,0.06410825,1.18913216,28.934,4.98310211,1.016636,0.1756487,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P4_A4_C0,P5_A4_C0,37,0.07740586,0.06965395,1.11129174,32.988,5.31190066,0.755285,0.22754491,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P3_A3_C0,P6_A5_C0,30,0.03115265,0.02795031,1.11457252,26.618,4.74437501,0.712844,0.26147705,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P4_A3_C0,P5_A4_C0,34,0.07623318,0.06965395,1.09445603,30.76,4.78290208,0.677413,0.29341317,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P5_A5_C0,P4_A3_C0,22,0.11111111,0.09893523,1.12306926,19.724,3.88922565,0.585206,0.31337325,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P3_A3_C0,P4_A4_C0,106,0.11007269,0.10603372,1.03809139,102.268,8.58134342,0.434897,0.36327345,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P2_A2_C0,P5_A5_C0,37,0.04701398,0.04392192,1.07039903,34.75,5.35881833,0.419869,0.37125749,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P4_A4_C0,P4_A3_C0,47,0.09832636,0.09893523,0.99384581,46.972,6.42321815,0.004359,0.50299401,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P5_A5_C0,P3_A3_C0,42,0.21212121,0.21362023,0.99298279,42.574,5.58739312,-0.102731,0.58483034,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P3_A3_C0,P3_A3_C0,204,0.21183801,0.21362023,0.99165704,205.28,11.38335458,-0.112445,0.54291417,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P1_A1_C0,P4_A3_C0,28,0.09655172,0.09893523,0.97590846,28.846,5.06691536,-0.166965,0.60878244,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P3_A2_C0,P4_A4_C0,28,0.10408922,0.10603372,0.98166151,28.832,4.97607261,-0.1672,0.60279441,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P3_A2_C0,P4_A3_C0,26,0.09665428,0.09893523,0.976945,26.94,4.66904701,-0.201326,0.60279441,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P5_A5_C0,P2_A2_C0,33,0.16666667,0.17457853,0.95468022,34.292,5.22161532,-0.247433,0.63073852,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P5_A4_C0,P3_A3_C0,65,0.20700637,0.21362023,0.96903916,67.268,7.07759569,-0.320448,0.65269461,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
