from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P5-6_A5_C0,P<=4_A3_C0,12,0.08695652,0.09449466,0.92022684,13.284,3.54593268,-0.362105,0.68525896,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P10-12_A8+_C2,P7-9_A6-7_C1,7,0.05737705,0.06532457,0.87833797,8.056,2.70446307,-0.390466,0.73705179,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P7-9_A6-7_C1,7,0.05555556,0.06532457,0.85045423,8.072,2.6561318,-0.403594,0.71314741,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P5-6_A5_C1,5,0.03378378,0.04026294,0.83907887,6.028,2.23049691,-0.460884,0.75298805,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P5-6_A5_C0,7,0.0472973,0.0566968,0.83421465,8.228,2.59595298,-0.473044,0.74501992,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A8+_C2,P10-12_A8+_C1,4,0.03389831,0.04272802,0.79335072,4.972,1.91254997,-0.508222,0.77689243,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P13-15_A8+_C2,P<=4_A3_C0,4,0.07407407,0.09449466,0.78389694,5.212,2.12629738,-0.570005,0.77689243,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A5_C0,6,0.04347826,0.0566968,0.7668557,7.44,2.43105742,-0.592335,0.79681275,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A6-7_C1,P<=4_A4_C0,12,0.0754717,0.08833196,0.85440983,14.172,3.61145211,-0.60142,0.7689243,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A6-7_C1,P7-9_A8+_C1,10,0.05154639,0.06080526,0.84772917,12.052,3.20912604,-0.639426,0.7689243,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P5-6_A6-7_C0,6,0.04054054,0.05176664,0.78314028,7.72,2.61014394,-0.658967,0.78486056,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P5-6_A5_C0,5,0.03968254,0.0566968,0.69990798,6.84,2.58634039,-0.71143,0.82868526,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A8+_C2,P<=4_A4_C0,8,0.06779661,0.08833196,0.76752069,10.064,2.89090528,-0.713963,0.8247012,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
