current,next,observed_count,null_mean,null_sd,null_unique_values,z,z_reliable,empirical_p,null_exceedances,permutations,book,run_label,stream_type
qadma,meteg,21,59.824,6.96059795,38,-5.577682,True,1.0,500,500,genesis,main,full
meteg,sof_pasuq,1200,148.99,11.19036857,60,93.920946,True,0.00199601,0,500,exodus,main,full
merkha,tipeha,1153,263.178,13.98518813,69,63.62603,True,0.00199601,0,500,exodus,main,full
munah,zaqef_qatan,852,175.048,11.80476179,62,57.345672,True,0.00199601,0,500,exodus,main,full
tipeha,meteg,781,290.906,14.68497398,70,33.373842,True,0.00199601,0,500,exodus,main,full
zaqef_qatan,tipeha,591,206.436,13.07991101,64,29.401117,True,0.00199601,0,500,exodus,main,full
tipeha,atnah,582,160.434,11.00999928,56,38.289376,True,0.00199601,0,500,exodus,main,full
mahapakh,pashta,574,51.854,6.66795375,36,78.306782,True,0.00199601,0,500,exodus,main,full
pashta,munah,556,157.948,11.97631664,64,33.236596,True,0.00199601,0,500,exodus,main,full
merkha,meteg,537,233.714,13.62687004,64,22.256468,True,0.00199601,0,500,exodus,main,full
tipeha,munah,523,279.964,14.54544065,74,16.708741,True,0.00199601,0,500,exodus,main,full
munah,atnah,515,136.71,10.96989413,60,34.48438,True,0.00199601,0,500,exodus,main,full
tipeha,merkha,453,263.352,12.89047807,62,14.712255,True,0.00199601,0,500,exodus,main,full
pashta,zaqef_qatan,447,117.638,9.85988797,49,33.404233,True,0.00199601,0,500,exodus,main,full
zaqef_qatan,merkha,429,165.468,11.87817992,59,22.186227,True,0.00199601,0,500,exodus,main,full
tevir,merkha,369,65.464,7.18776962,39,42.229512,True,0.00199601,0,500,exodus,main,full
munah,revia,262,61.088,6.96313338,41,28.853677,True,0.00199601,0,500,exodus,main,full
sof_pasuq,munah,216,143.222,11.01741725,57,6.605722,True,0.00199601,0,500,exodus,main,full
sof_pasuq,merkha,214,134.822,10.51453408,57,7.530338,True,0.00199601,0,500,exodus,main,full
atnah,merkha,206,128.512,10.6951685,57,7.245141,True,0.00199601,0,500,exodus,main,full
pashta,pashta,206,105.368,9.34790579,52,10.765192,True,0.00199601,0,500,exodus,main,full
tevir,tipeha,193,81.602,7.8770357,44,14.142122,True,0.00199601,0,500,exodus,main,full
qadma,geresh,192,5.728,2.30317721,14,80.876104,True,0.00199601,0,500,exodus,main,full
darga,tevir,189,7.778,2.84902613,15,63.608402,True,0.00199601,0,500,exodus,main,full
atnah,munah,179,137.0,10.81896946,58,3.88207,True,0.00199601,0,500,exodus,main,full
sof_pasuq,mahapakh,149,47.07,6.41962016,36,15.877886,True,0.00199601,0,500,exodus,main,full
merkha,tevir,145,65.65,7.39790226,37,10.726014,True,0.00199601,0,500,exodus,main,full
revia,pashta,134,39.832,6.08686091,35,15.4707,True,0.00199601,0,500,exodus,main,full
revia,mahapakh,123,19.906,4.19623412,26,24.568219,True,0.00199601,0,500,exodus,main,full
atnah,mahapakh,115,45.136,6.11590653,34,11.423327,True,0.00199601,0,500,exodus,main,full
sof_pasuq,qadma,115,29.184,5.52840579,31,15.522739,True,0.00199601,0,500,exodus,main,full
qadma,mahapakh,91,15.66,3.76626732,21,20.003891,True,0.00199601,0,500,exodus,main,full
telisha_qetana,qadma,86,2.248,1.5320543,9,54.66647,True,0.00199601,0,500,exodus,main,full
yetiv,munah,76,10.642,3.02723708,17,21.589984,True,0.00199601,0,500,exodus,main,full
atnah,qadma,70,27.802,4.89967444,28,8.612409,True,0.00199601,0,500,exodus,main,full
munah,paseq,67,9.366,2.82276105,19,20.417598,True,0.00199601,0,500,exodus,main,full
geresh,revia,64,6.98,2.54254382,15,22.426359,True,0.00199601,0,500,exodus,main,full
paseq,munah,60,9.41,2.96842097,18,17.042731,True,0.00199601,0,500,exodus,main,full
geresh,munah,56,27.312,4.8171637,29,5.955372,True,0.00199601,0,500,exodus,main,full
munah,zinor,52,9.55,2.85302989,17,14.878919,True,0.00199601,0,500,exodus,main,full
geresh,mahapakh,47,9.086,2.81681965,18,13.459861,True,0.00199601,0,500,exodus,main,full
zaqef_gadol,tipeha,46,13.778,3.43632546,21,9.376877,True,0.00199601,0,500,exodus,main,full
atnah,darga,44,15.342,3.51877814,20,8.144304,True,0.00199601,0,500,exodus,main,full
sof_pasuq,gershayim,42,7.224,2.52954961,16,13.747902,True,0.00199601,0,500,exodus,main,full
sof_pasuq,darga,41,15.914,4.08116599,25,6.146773,True,0.00199601,0,500,exodus,main,full
zinor,munah,41,9.328,2.88392963,17,10.982237,True,0.00199601,0,500,exodus,main,full
zaqef_qatan,zaqef_gadol,39,8.848,2.83354088,18,10.641103,True,0.00199601,0,500,exodus,main,full
atnah,zaqef_gadol,37,6.908,2.60559287,16,11.549003,True,0.00199601,0,500,exodus,main,full
munah,segol,37,9.51,2.80314381,16,9.806846,True,0.00199601,0,500,exodus,main,full
qadma,darga,37,5.36,2.20183927,11,14.369805,True,0.00199601,0,500,exodus,main,full
revia,tevir,37,17.69,4.25182974,26,4.541574,True,0.00199601,0,500,exodus,main,full
revia,qadma,36,12.722,3.51189162,22,6.628337,True,0.00199601,0,500,exodus,main,full
zinor,segol,35,0.368,0.59437578,4,58.26617,True,0.00199601,0,500,exodus,main,full
gershayim,munah,33,11.596,3.22639167,20,6.634036,True,0.00199601,0,500,exodus,main,full
revia,yetiv,32,2.702,1.64517756,11,17.808412,True,0.00199601,0,500,exodus,main,full
gershayim,mahapakh,30,3.896,1.87194882,11,13.944826,True,0.00199601,0,500,exodus,main,full
zaqef_gadol,merkha,27,11.064,3.17491167,18,5.019352,True,0.00199601,0,500,exodus,main,full
sof_pasuq,telisha_qetana,26,6.302,2.34900653,14,8.385673,True,0.00199601,0,500,exodus,main,full
telisha_gedola,qadma,26,1.05,1.03423367,5,24.124142,True,0.00199601,0,500,exodus,main,full
segol,munah,25,9.598,2.9383096,18,5.241789,True,0.00199601,0,500,exodus,main,full
atnah,yetiv,23,6.08,2.29785994,13,7.363373,True,0.00199601,0,500,exodus,main,full
revia,darga,23,6.7,2.25924953,13,7.214785,True,0.00199601,0,500,exodus,main,full
zaqef_qatan,yetiv,22,7.958,2.56151493,16,5.481912,True,0.00199601,0,500,exodus,main,full
zaqef_qatan,tevir,70,51.266,6.85896017,38,2.731318,True,0.00399202,1,500,exodus,main,full
sof_pasuq,revia,56,36.306,5.78717087,34,3.403044,True,0.00399202,1,500,exodus,main,full
