from_shape,to_shape,count,p_to_given_from,p_to_background,lift,book,level,shape_field,transition_accent_mode
P5-6_A6-7_C0,P5-6_A4_C0,12,0.048583,0.05434783,0.89392713,exodus,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P5-6_A5_C0,12,0.04633205,0.07342502,0.63101168,exodus,minor,transition_bucket_shape,taam_events
P7-9_A8+_C0,P<=4_A2_C0,12,0.17910448,0.16126886,1.11059558,exodus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P5-6_A6-7_C0,12,0.048583,0.05479148,0.88668885,exodus,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P5-6_A4_C0,12,0.04633205,0.05434783,0.85250965,exodus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A5_C0,12,0.03636364,0.04591837,0.79191919,exodus,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P5-6_A5_C0,12,0.07594937,0.07342502,1.0343799,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A3_C0,11,0.01234568,0.00998225,1.23676269,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A3_C0,11,0.00914381,0.00998225,0.91600628,exodus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A0-1_C0,11,0.03333333,0.05723159,0.58242894,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P7-9_A8+_C0,10,0.01122334,0.01486247,0.75514682,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P10-12_A8+_C0,10,0.01122334,0.00709849,1.58108866,exodus,minor,transition_bucket_shape,taam_events
P10-12_A8+_C0,P<=4_A3_C0,10,0.3125,0.26685892,1.17103076,exodus,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P5-6_A6-7_C0,10,0.04830918,0.05479148,0.88169141,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P7-9_A8+_C0,10,0.01375516,0.01486247,0.92549631,exodus,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P<=4_A5_C0,9,0.03673469,0.04591837,0.8,exodus,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P7-9_A6-7_C0,9,0.03474903,0.0350488,0.99144714,exodus,minor,transition_bucket_shape,taam_events
P7-9_A8+_C0,P5-6_A5_C0,9,0.13432836,0.07342502,1.82946296,exodus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A5_C0,9,0.03643725,0.04591837,0.79352227,exodus,minor,transition_bucket_shape,taam_events
P5-6_A3_C0,P<=4_A3_C0,9,0.2,0.26685892,0.74945968,exodus,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P5-6_A4_C0,8,0.03265306,0.05434783,0.60081633,exodus,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P7-9_A6-7_C0,8,0.03265306,0.0350488,0.93164557,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P10-12_A8+_C0,8,0.00665004,0.00709849,0.93682461,exodus,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A5_C0,8,0.03864734,0.04591837,0.84165325,exodus,minor,transition_bucket_shape,taam_events
P5-6_A3_C0,P<=4_A4_C0,8,0.17777778,0.19764862,0.89946377,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A6-7_C0,7,0.00581879,0.00754215,0.77150262,exodus,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P7-9_A6-7_C0,7,0.03381643,0.0350488,0.96483826,exodus,minor,transition_bucket_shape,taam_events
P10-12_A8+_C0,P<=4_A2_C0,7,0.21875,0.16126886,1.35643054,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P7-9_A5_C0,7,0.00581879,0.0055457,1.04924356,exodus,minor,transition_bucket_shape,taam_events
P5-6_A3_C0,P<=4_A2_C0,7,0.15555556,0.16126886,0.96457283,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A6-7_C0,7,0.00962861,0.00754215,1.2766405,exodus,minor,transition_bucket_shape,taam_events
P<=4_A6-7_C0,P<=4_A4_C0,7,0.20588235,0.19764862,1.04165841,exodus,minor,transition_bucket_shape,taam_events
P<=4_A6-7_C0,P<=4_A2_C0,6,0.17647059,0.16126886,1.09426329,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A6-7_C0,6,0.00673401,0.00754215,0.89285007,exodus,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P5-6_A6-7_C0,6,0.03797468,0.05479148,0.69307641,exodus,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P7-9_A8+_C0,6,0.03797468,0.01486247,2.55507274,exodus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P7-9_A8+_C0,6,0.01818182,0.01486247,1.22333786,exodus,minor,transition_bucket_shape,taam_events
P5-6_A3_C0,P5-6_A5_C0,6,0.13333333,0.07342502,1.81591138,exodus,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P10-12_A8+_C0,6,0.02898551,0.00709849,4.08333333,exodus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P7-9_A8+_C0,6,0.0242915,0.01486247,1.634419,exodus,minor,transition_bucket_shape,taam_events
P7-9_A8+_C0,P5-6_A4_C0,5,0.07462687,0.05434783,1.37313433,exodus,minor,transition_bucket_shape,taam_events
P10-12_A8+_C0,P<=4_A4_C0,5,0.15625,0.19764862,0.79054433,exodus,minor,transition_bucket_shape,taam_events
P5-6_A3_C0,P5-6_A6-7_C0,5,0.11111111,0.05479148,2.02789024,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P5-6_A3_C0,5,0.00687758,0.00998225,0.68898059,exodus,minor,transition_bucket_shape,taam_events
P<=4_A6-7_C0,P<=4_A3_C0,5,0.14705882,0.26685892,0.5510733,exodus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P5-6_A3_C0,5,0.02024291,0.00998225,2.02789024,exodus,minor,transition_bucket_shape,taam_events
P3_A3_C0,P3_A3_C0,100,0.1540832,0.14396628,1.07027286,exodus,minor,transition_exact_shape,taam_events
P2_A2_C0,P3_A3_C0,98,0.196,0.14396628,1.36142989,exodus,minor,transition_exact_shape,taam_events
P3_A3_C0,P3_A4_C0,77,0.11864407,0.0907276,1.3076955,exodus,minor,transition_exact_shape,taam_events
P3_A3_C0,P2_A2_C0,75,0.1155624,0.11091393,1.04191063,exodus,minor,transition_exact_shape,taam_events
P2_A2_C0,P3_A4_C0,68,0.136,0.0907276,1.49899267,exodus,minor,transition_exact_shape,taam_events
P3_A4_C0,P2_A2_C0,66,0.16136919,0.11091393,1.45490465,exodus,minor,transition_exact_shape,taam_events
P4_A4_C0,P3_A3_C0,62,0.13656388,0.14396628,0.94858237,exodus,minor,transition_exact_shape,taam_events
P3_A3_C0,P4_A4_C0,57,0.08782743,0.10070985,0.87208379,exodus,minor,transition_exact_shape,taam_events
P2_A2_C0,P2_A3_C0,53,0.106,0.05700976,1.85933074,exodus,minor,transition_exact_shape,taam_events
