from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P3_A3_C0,P3_A4_C0,79,0.143898,0.10417213,1.38134827,57.062,6.26647376,3.500852,0.00199601,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P2_A2_C0,P2_A3_C0,30,0.07159905,0.04460771,1.60508213,18.692,4.10644149,2.753722,0.00798403,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P3_A4_C0,P5_A5_C0,30,0.07556675,0.04775649,1.58233454,19.188,4.03797803,2.677578,0.00798403,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P3_A2_C0,P3_A4_C0,20,0.18018018,0.10417213,1.72963896,11.674,3.21066047,2.593236,0.00998004,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P4_A3_C0,P4_A3_C0,21,0.09722222,0.05667804,1.71534208,12.568,3.30745439,2.549393,0.01796407,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P3_A2_C0,P3_A3_C0,25,0.22522523,0.14431908,1.56060606,15.938,3.97816636,2.277934,0.02195609,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P3_A3_C0,P2_A3_C0,34,0.06193078,0.04460771,1.38834244,24.236,4.41080655,2.213654,0.0239521,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P3_A4_C0,P1_A1_C0,28,0.07052897,0.04854369,1.45289673,19.144,4.13732994,2.140511,0.03193613,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P4_A4_C0,P1_A1_C0,25,0.0672043,0.04854369,1.3844086,17.898,3.84306314,1.848005,0.05189621,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P1_A1_C0,P3_A3_C0,35,0.18918919,0.14431908,1.31090909,26.756,4.74779392,1.736385,0.05988024,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P2_A2_C0,P3_A4_C0,54,0.12887828,0.10417213,1.23716658,43.628,6.03775828,1.717856,0.05788423,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P2_A3_C0,P4_A4_C0,22,0.12941176,0.09761218,1.32577483,16.798,3.83387444,1.356852,0.1257485,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P3_A3_C0,P3_A3_C0,89,0.16211293,0.14431908,1.12329525,79.346,7.4968453,1.287742,0.10379242,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P2_A2_C0,P4_A5_C0,24,0.05727924,0.04539491,1.26179867,19.048,3.96650505,1.248454,0.12774451,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P5_A4_C0,P3_A4_C0,23,0.1299435,0.10417213,1.24739216,18.524,4.1142774,1.087919,0.17764471,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P5_A5_C0,P2_A2_C0,24,0.13186813,0.1096825,1.20227141,20.106,4.06346989,0.958294,0.21556886,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P3_A3_C0,P4_A5_C0,29,0.05282332,0.04539491,1.16363962,24.904,4.34332972,0.943055,0.19560878,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P3_A4_C0,P2_A2_C0,49,0.12342569,0.1096825,1.1252998,43.56,5.9519115,0.913992,0.22155689,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P4_A4_C0,P2_A2_C0,46,0.12365591,0.1096825,1.12739878,41.152,5.8437312,0.829607,0.2255489,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P1_A1_C0,P2_A2_C0,23,0.12432432,0.1096825,1.13349282,20.046,4.03490333,0.732112,0.25948104,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P3_A4_C0,P3_A3_C0,62,0.15617128,0.14431908,1.08212503,57.324,6.51828198,0.717367,0.249501,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P4_A3_C0,P3_A4_C0,25,0.11574074,0.10417213,1.1110528,22.204,4.48537861,0.623359,0.28542914,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P5_A4_C0,P2_A2_C0,22,0.12429379,0.1096825,1.13321439,19.656,4.03512434,0.580899,0.2994012,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P4_A4_C0,P4_A4_C0,39,0.10483871,0.09761218,1.07403313,36.078,5.27708359,0.553715,0.33133733,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P3_A4_C0,P4_A4_C0,42,0.10579345,0.09761218,1.08381409,38.986,5.56846654,0.541262,0.31936128,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P4_A4_C0,P4_A5_C0,19,0.05107527,0.04539491,1.12513208,17.02,3.7324875,0.530477,0.32934132,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P4_A4_C0,P3_A3_C0,56,0.15053763,0.14431908,1.04308895,53.576,6.78825344,0.357087,0.39520958,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P2_A2_C0,P5_A5_C0,21,0.05011933,0.04775649,1.04947678,19.974,4.20102621,0.244226,0.43912176,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P4_A3_C0,P4_A4_C0,22,0.10185185,0.09761218,1.04343389,21.0,4.13451187,0.241867,0.43712575,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P3_A3_C0,P4_A4_C0,54,0.09836066,0.09761218,1.0076679,53.33,6.05594327,0.110635,0.48103792,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P2_A2_C0,P3_A3_C0,61,0.14558473,0.14431908,1.0087698,60.4,6.7331025,0.089112,0.49700599,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P2_A3_C0,P3_A3_C0,25,0.14705882,0.14431908,1.01898396,24.602,4.54013454,0.087663,0.48902196,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P2_A2_C0,P4_A4_C0,41,0.09785203,0.09761218,1.00245721,41.066,5.37842905,-0.012271,0.50898204,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P4_A5_C0,P2_A2_C0,18,0.10404624,0.1096825,0.94861299,18.648,3.9389245,-0.164512,0.60479042,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P2_A3_C0,P2_A2_C0,18,0.10588235,0.1096825,0.96535322,18.628,3.63759263,-0.172642,0.63872255,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P3_A3_C0,P1_A1_C0,26,0.04735883,0.04854369,0.97559199,26.894,4.79340353,-0.186506,0.5988024,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P5_A4_C0,P3_A3_C0,24,0.13559322,0.14431908,0.93953775,25.102,4.39980825,-0.250465,0.64271457,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P4_A4_C0,P3_A4_C0,37,0.09946237,0.10417213,0.9547886,38.714,5.67914689,-0.301806,0.64471058,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P2_A2_C0,P4_A3_C0,22,0.05250597,0.05667804,0.92638999,23.8,4.75997002,-0.378154,0.71057884,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P2_A2_C0,P5_A4_C0,18,0.04295943,0.0464445,0.92496258,19.612,4.20342641,-0.383497,0.68662675,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P3_A3_C0,P5_A4_C0,23,0.04189435,0.0464445,0.9020304,25.28,4.50179212,-0.506465,0.72055888,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P3_A3_C0,P5_A5_C0,24,0.04371585,0.04775649,0.91539062,26.528,4.55397556,-0.555119,0.74451098,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P4_A5_C0,P3_A3_C0,22,0.12716763,0.14431908,0.88115607,24.882,4.71258878,-0.611553,0.750499,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P3_A4_C0,P3_A4_C0,37,0.09319899,0.10417213,0.89466338,41.448,5.99024725,-0.74254,0.79041916,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P3_A3_C0,P2_A2_C0,55,0.10018215,0.1096825,0.91338318,60.276,7.00671193,-0.752992,0.78043912,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P3_A4_C0,P4_A3_C0,18,0.04534005,0.05667804,0.79995802,22.258,4.23737498,-1.004867,0.88622754,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P4_A3_C0,P2_A2_C0,19,0.08796296,0.1096825,0.80197811,23.682,4.43669297,-1.055291,0.89820359,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P4_A3_C0,P3_A3_C0,25,0.11574074,0.14431908,0.80197811,31.416,5.24193665,-1.223975,0.92015968,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P3_A3_C0,P4_A3_C0,24,0.04371585,0.05667804,0.77130136,31.476,5.35301163,-1.396597,0.9500998,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P2_A2_C0,P2_A2_C0,35,0.08353222,0.1096825,0.76158203,46.298,5.75738578,-1.962349,0.97804391,upper,screening_selected_transition,deuteronomy,minor,transition_exact_shape,taam_events
P<=4_A3_C0,P<=4_A4_C0,22,0.18181818,0.08436325,2.1551824,10.386,2.89996959,4.00487,0.00199601,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P13-15_A8+_C2,P7-9_A8+_C1,14,0.21875,0.09672219,2.26163194,6.248,2.24869056,3.44734,0.00199601,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A5_C1,10,0.06369427,0.03062869,2.07956196,4.86,2.12165096,2.422642,0.01996008,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P10-12_A8+_C2,P13-15_A8+_C2,9,0.06716418,0.03439011,1.9530084,4.628,2.02727296,2.156592,0.04590818,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P7-9_A6-7_C1,8,0.12121212,0.05964535,2.03221403,3.964,1.94892293,2.070887,0.04590818,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
