taam,rank,predecessor,count,prob,book,run_label,stream_type
tipeha,4,atnah,213,0.07174133,genesis,explore_k3_7_edges20,core_projected
tipeha,5,meteg,194,0.06534187,genesis,explore_k3_7_edges20,core_projected
tipeha,6,sof_pasuq,100,0.03368137,genesis,explore_k3_7_edges20,core_projected
tipeha,7,zaqef_gadol,48,0.01616706,genesis,explore_k3_7_edges20,core_projected
tipeha,8,pashta,2,0.00067363,genesis,explore_k3_7_edges20,core_projected
tipeha,9,paseq,1,0.00033681,genesis,explore_k3_7_edges20,core_projected
tipeha,10,darga,1,0.00033681,genesis,explore_k3_7_edges20,core_projected
tipeha,11,munah,1,0.00033681,genesis,explore_k3_7_edges20,core_projected
zaqef_gadol,1,zaqef_qatan,60,0.34090909,genesis,explore_k3_7_edges20,core_projected
zaqef_gadol,2,atnah,55,0.3125,genesis,explore_k3_7_edges20,core_projected
zaqef_gadol,3,sof_pasuq,50,0.28409091,genesis,explore_k3_7_edges20,core_projected
zaqef_gadol,4,meteg,7,0.03977273,genesis,explore_k3_7_edges20,core_projected
zaqef_gadol,5,zaqef_gadol,3,0.01704545,genesis,explore_k3_7_edges20,core_projected
zaqef_gadol,6,munah,1,0.00568182,genesis,explore_k3_7_edges20,core_projected
zaqef_qatan,1,munah,1159,0.61846318,genesis,explore_k3_7_edges20,core_projected
zaqef_qatan,2,pashta,551,0.29402348,genesis,explore_k3_7_edges20,core_projected
zaqef_qatan,3,meteg,124,0.06616862,genesis,explore_k3_7_edges20,core_projected
zaqef_qatan,4,qadma,28,0.0149413,genesis,explore_k3_7_edges20,core_projected
zaqef_qatan,5,zaqef_qatan,3,0.00160085,genesis,explore_k3_7_edges20,core_projected
zaqef_qatan,6,atnah,3,0.00160085,genesis,explore_k3_7_edges20,core_projected
zaqef_qatan,7,revia,2,0.00106724,genesis,explore_k3_7_edges20,core_projected
zaqef_qatan,8,mahapakh,2,0.00106724,genesis,explore_k3_7_edges20,core_projected
zaqef_qatan,9,sof_pasuq,2,0.00106724,genesis,explore_k3_7_edges20,core_projected
