source,target,count,prob_given_source,target_predecessor_share,reverse_count,asymmetry_count,asymmetry_ratio,expected_independent,lift,book,run_label,stream_type
revia,meteg,69,0.11311475,0.02560297,47,22,1.46808511,80.629261,0.855769,genesis,explore_k3_7_edges20,core_projected
meteg,mahapakh,65,0.02411874,0.08165829,87,-22,0.74712644,105.214576,0.617785,genesis,explore_k3_7_edges20,core_projected
zaqef_qatan,pashta,65,0.03468517,0.03821282,551,-486,0.11796733,156.342832,0.415753,genesis,explore_k3_7_edges20,core_projected
atnah,revia,63,0.04297408,0.10327869,0,63,inf,43.859924,1.436391,genesis,explore_k3_7_edges20,core_projected
geresh,munah,62,0.25409836,0.02581182,3,59,20.66666667,28.745304,2.156874,genesis,explore_k3_7_edges20,core_projected
zaqef_qatan,zaqef_gadol,60,0.03201708,0.34090909,0,60,inf,16.176566,3.709069,genesis,explore_k3_7_edges20,core_projected
munah,munah,58,0.02414654,0.02414654,58,0,1.0,282.976311,0.204964,genesis,explore_k3_7_edges20,core_projected
revia,qadma,56,0.09180328,0.12253829,0,56,inf,13.672569,4.095792,genesis,explore_k3_7_edges20,core_projected
paseq,munah,55,0.59782609,0.02289759,72,-17,0.76388889,10.838393,5.074553,genesis,explore_k3_7_edges20,core_projected
atnah,zaqef_gadol,55,0.03751705,0.3125,0,55,inf,12.654667,4.346223,genesis,explore_k3_7_edges20,core_projected
revia,munah,53,0.08688525,0.02206495,319,-266,0.1661442,71.86326,0.737512,genesis,explore_k3_7_edges20,core_projected
sof_pasuq,zaqef_gadol,50,0.03270111,0.28409091,0,50,inf,13.198489,3.788312,genesis,explore_k3_7_edges20,core_projected
zaqef_gadol,tipeha,48,0.27272727,0.01616706,0,48,inf,25.628721,1.872899,genesis,explore_k3_7_edges20,core_projected
meteg,revia,47,0.0174397,0.07704918,69,-22,0.68115942,80.629261,0.582915,genesis,explore_k3_7_edges20,core_projected
atnah,tevir,46,0.0313779,0.07383628,0,46,inf,44.794644,1.026908,genesis,explore_k3_7_edges20,core_projected
qadma,darga,44,0.09628009,0.17391304,0,44,inf,5.670754,7.75911,genesis,explore_k3_7_edges20,core_projected
geresh,mahapakh,43,0.17622951,0.0540201,0,43,inf,9.525921,4.513999,genesis,explore_k3_7_edges20,core_projected
meteg,tevir,41,0.01521336,0.06581059,25,16,1.64,82.347589,0.497889,genesis,explore_k3_7_edges20,core_projected
zaqef_qatan,mahapakh,40,0.02134472,0.05025126,2,38,20.0,73.162195,0.54673,genesis,explore_k3_7_edges20,core_projected
revia,tevir,39,0.06393443,0.06260032,0,39,inf,18.638972,2.09239,genesis,explore_k3_7_edges20,core_projected
