book,run_label,feature_set,model_role,n_words,n_candidates,n_minor_boundaries_candidates,evaluation_mode,folds,split_mode,test_frac,include_edges,pos_cap,len_cap,alpha,test_candidates,gold_boundaries,predicted_boundaries,tp,fp,fn,precision,recall,f1,fold_f1_mean,fold_f1_sd,fold_f1_min,fold_f1_max,random_f1_mean,random_f1_sd,model_vs_random_f1_z,model_vs_random_empirical_p
numbers,control_wider_caps,adjacent_only,strict_adjacency_primary,16404,11537,1815,cross_validation,5,major_unit,NA,False,16,40,1.0,11537,1815,1815,1299,516,516,0.71570248,0.71570248,0.71570248,0.71512754,0.02482891,0.69166667,0.75271739,0.15760771,0.00754708,73.948424,0.00199601
numbers,control_wider_caps,local_taam,ablation,16404,11537,1815,cross_validation,5,major_unit,NA,False,16,40,1.0,11537,1815,1815,1354,461,461,0.74600551,0.74600551,0.74600551,0.74554254,0.02261978,0.72222222,0.7826087,0.15760771,0.00754708,77.963622,0.00199601
numbers,control_wider_caps,structure_current,ablation,16404,11537,1815,cross_validation,5,major_unit,NA,False,16,40,1.0,11537,1815,1815,1094,721,721,0.60275482,0.60275482,0.60275482,0.6022678,0.02623704,0.5694051,0.64130435,0.15760771,0.00754708,58.982684,0.00199601
numbers,control_wider_caps,structure_local,maximal_reconstruction,16404,11537,1815,cross_validation,5,major_unit,NA,False,16,40,1.0,11537,1815,1815,1333,482,482,0.73443526,0.73443526,0.73443526,0.73383015,0.03000383,0.7082153,0.7826087,0.15760771,0.00754708,76.430547,0.00199601
deuteronomy,control_wider_caps,structure,geometry_baseline,14269,10546,1773,cross_validation,5,major_unit,NA,False,16,40,1.0,10546,1773,1773,506,1267,1267,0.28539199,0.28539199,0.28539199,0.28476179,0.02701323,0.25936599,0.32972973,0.16844219,0.00828423,14.117161,0.00199601
deuteronomy,control_wider_caps,current_only,ablation,14269,10546,1773,cross_validation,5,major_unit,NA,False,16,40,1.0,10546,1773,1773,923,850,850,0.52058658,0.52058658,0.52058658,0.52040017,0.02384799,0.48695652,0.54594595,0.16844219,0.00828423,42.5078,0.00199601
deuteronomy,control_wider_caps,adjacent_only,strict_adjacency_primary,14269,10546,1773,cross_validation,5,major_unit,NA,False,16,40,1.0,10546,1773,1773,1243,530,530,0.70107163,0.70107163,0.70107163,0.7005291,0.04270643,0.62898551,0.73546512,0.16844219,0.00828423,64.294382,0.00199601
deuteronomy,control_wider_caps,local_taam,ablation,14269,10546,1773,cross_validation,5,major_unit,NA,False,16,40,1.0,10546,1773,1773,1332,441,441,0.75126904,0.75126904,0.75126904,0.75123436,0.02622873,0.71884058,0.77906977,0.16844219,0.00828423,70.353776,0.00199601
deuteronomy,control_wider_caps,structure_current,ablation,14269,10546,1773,cross_validation,5,major_unit,NA,False,16,40,1.0,10546,1773,1773,1066,707,707,0.60124083,0.60124083,0.60124083,0.60061727,0.05611019,0.53913043,0.68108108,0.16844219,0.00828423,52.243679,0.00199601
deuteronomy,control_wider_caps,structure_local,maximal_reconstruction,14269,10546,1773,cross_validation,5,major_unit,NA,False,16,40,1.0,10546,1773,1773,1295,478,478,0.73040045,0.73040045,0.73040045,0.72989766,0.03909774,0.67826087,0.78108108,0.16844219,0.00828423,67.834702,0.00199601
