taam,rank,predecessor,count,prob,book,run_label,stream_type
tevir,4,zaqef_qatan,41,0.09855769,leviticus,control_exclude_meteg,full
tevir,5,sof_pasuq,29,0.06971154,leviticus,control_exclude_meteg,full
tevir,6,revia,26,0.0625,leviticus,control_exclude_meteg,full
tevir,7,zaqef_gadol,5,0.01201923,leviticus,control_exclude_meteg,full
tipeha,1,merkha,866,0.5194961,leviticus,control_exclude_meteg,full
tipeha,2,zaqef_qatan,439,0.26334733,leviticus,control_exclude_meteg,full
tipeha,3,tevir,166,0.09958008,leviticus,control_exclude_meteg,full
tipeha,4,atnah,132,0.07918416,leviticus,control_exclude_meteg,full
tipeha,5,sof_pasuq,38,0.02279544,leviticus,control_exclude_meteg,full
tipeha,6,zaqef_gadol,22,0.01319736,leviticus,control_exclude_meteg,full
tipeha,7,darga,1,0.00059988,leviticus,control_exclude_meteg,full
tipeha,8,merkha_kefula,1,0.00059988,leviticus,control_exclude_meteg,full
tipeha,9,paseq,1,0.00059988,leviticus,control_exclude_meteg,full
tipeha,10,mahapakh,1,0.00059988,leviticus,control_exclude_meteg,full
yetiv,1,revia,15,0.3,leviticus,control_exclude_meteg,full
yetiv,2,sof_pasuq,15,0.3,leviticus,control_exclude_meteg,full
yetiv,3,zaqef_qatan,10,0.2,leviticus,control_exclude_meteg,full
yetiv,4,atnah,9,0.18,leviticus,control_exclude_meteg,full
yetiv,5,pashta,1,0.02,leviticus,control_exclude_meteg,full
zaqef_gadol,1,zaqef_qatan,24,0.43636364,leviticus,control_exclude_meteg,full
zaqef_gadol,2,sof_pasuq,17,0.30909091,leviticus,control_exclude_meteg,full
zaqef_gadol,3,atnah,14,0.25454545,leviticus,control_exclude_meteg,full
zaqef_qatan,1,munah,593,0.60081054,leviticus,control_exclude_meteg,full
zaqef_qatan,2,pashta,350,0.35460993,leviticus,control_exclude_meteg,full
zaqef_qatan,3,qadma,21,0.0212766,leviticus,control_exclude_meteg,full
zaqef_qatan,4,yetiv,10,0.01013171,leviticus,control_exclude_meteg,full
zaqef_qatan,5,sof_pasuq,8,0.00810537,leviticus,control_exclude_meteg,full
zaqef_qatan,6,atnah,4,0.00405268,leviticus,control_exclude_meteg,full
zaqef_qatan,7,zaqef_qatan,1,0.00101317,leviticus,control_exclude_meteg,full
zarqa,1,munah,2,1.0,leviticus,control_exclude_meteg,full
zinor,1,munah,30,0.55555556,leviticus,control_exclude_meteg,full
zinor,2,revia,13,0.24074074,leviticus,control_exclude_meteg,full
zinor,3,sof_pasuq,8,0.14814815,leviticus,control_exclude_meteg,full
zinor,4,paseq,2,0.03703704,leviticus,control_exclude_meteg,full
zinor,5,merkha,1,0.01851852,leviticus,control_exclude_meteg,full
